timestamp,level,message
2026-04-26 02:39:16,ERROR,Unexpected error in polling loop: 
2026-04-26 02:39:16,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:39:16,DEBUG,timings (s): fetch=0.003 indicators=0.158 signals=0.000 order_and_email=0.000 total=0.162
2026-04-26 02:39:16,INFO,Bot stopped by user.
2026-04-26 02:39:46,ERROR,Startup aborted: MT5 connection failed.
2026-04-26 02:39:46,ERROR,Startup aborted: account info unavailable.
2026-04-26 02:39:46,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:39:46,DEBUG,timings (s): fetch=0.004 indicators=0.165 signals=0.001 order_and_email=0.000 total=0.177
2026-04-26 02:39:46,ERROR,Unexpected error in polling loop: 
2026-04-26 02:39:46,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:39:46,DEBUG,timings (s): fetch=0.003 indicators=0.169 signals=0.000 order_and_email=0.000 total=0.173
2026-04-26 02:39:46,ERROR,Unexpected error in polling loop: 
2026-04-26 02:39:46,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:39:46,DEBUG,timings (s): fetch=0.003 indicators=0.155 signals=0.000 order_and_email=0.000 total=0.158
2026-04-26 02:39:46,ERROR,Unexpected error in polling loop: 
2026-04-26 02:39:46,INFO,"auto-trade summary: {'success': False, 'error': 'symbol tick info unavailable for BTCUSDm'}"
2026-04-26 02:39:46,DEBUG,timings (s): fetch=0.003 indicators=0.150 signals=0.000 order_and_email=0.001 total=0.154
2026-04-26 02:39:46,ERROR,Unexpected error in polling loop: 
2026-04-26 02:39:46,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:39:46,DEBUG,timings (s): fetch=0.003 indicators=0.149 signals=0.000 order_and_email=0.000 total=0.153
2026-04-26 02:39:46,ERROR,Unexpected error in polling loop: 
2026-04-26 02:39:47,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:39:47,DEBUG,timings (s): fetch=0.003 indicators=0.154 signals=0.000 order_and_email=0.000 total=0.158
2026-04-26 02:39:47,INFO,Bot stopped by user.
2026-04-26 02:41:19,INFO,macro-fvg | direction=BEARISH fvg=[77618.97-77620.44] type=bullish liquidity_target=77515.67 entry=77550.3
2026-04-26 02:41:19,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:41:19,DEBUG,timings (s): fetch=0.114 indicators=0.167 signals=0.001 order_and_email=0.000 total=0.307
2026-04-26 02:42:19,INFO,macro-fvg | direction=BEARISH fvg=[77618.97-77620.44] type=bullish liquidity_target=77513.11 entry=77545.23
2026-04-26 02:42:19,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:42:19,DEBUG,timings (s): fetch=0.005 indicators=0.152 signals=0.001 order_and_email=0.000 total=0.167
2026-04-26 02:42:26,INFO,Bot stopped by user.
2026-04-26 02:46:34,INFO,macro-fvg | direction=BEARISH fvg=[77618.97-77620.44] type=bullish liquidity_target=77565.05 entry=77567.81
2026-04-26 02:46:34,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:46:34,DEBUG,timings (s): fetch=0.021 indicators=0.159 signals=0.001 order_and_email=0.000 total=0.194
2026-04-26 02:47:34,INFO,macro-fvg | direction=BEARISH fvg=[77618.97-77620.44] type=bullish liquidity_target=77518.64 entry=77551.39
2026-04-26 02:47:34,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:47:34,DEBUG,timings (s): fetch=0.005 indicators=0.151 signals=0.001 order_and_email=0.000 total=0.170
2026-04-26 02:48:34,INFO,macro-fvg | direction=BEARISH fvg=[77618.97-77620.44] type=bullish liquidity_target=77564.28 entry=77568.66
2026-04-26 02:48:34,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:48:34,DEBUG,timings (s): fetch=0.005 indicators=0.151 signals=0.001 order_and_email=0.000 total=0.166
2026-04-26 02:49:34,INFO,macro-fvg | direction=BEARISH fvg=[77618.97-77620.44] type=bullish liquidity_target=77567.05 entry=77570.01
2026-04-26 02:49:34,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:49:34,DEBUG,timings (s): fetch=0.005 indicators=0.152 signals=0.001 order_and_email=0.000 total=0.167
2026-04-26 02:50:34,INFO,macro-fvg | direction=BEARISH fvg=[77618.97-77620.44] type=bullish liquidity_target=77564.21 entry=77564.97
2026-04-26 02:50:34,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:50:34,DEBUG,timings (s): fetch=0.005 indicators=0.151 signals=0.001 order_and_email=0.000 total=0.168
2026-04-26 02:51:34,INFO,macro-fvg | direction=BEARISH fvg=[77618.97-77620.44] type=bullish liquidity_target=77521.59 entry=77562.76
2026-04-26 02:51:34,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:51:34,DEBUG,timings (s): fetch=0.005 indicators=0.151 signals=0.001 order_and_email=0.000 total=0.179
2026-04-26 02:52:34,INFO,macro-fvg | direction=BEARISH fvg=[77618.97-77620.44] type=bullish liquidity_target=77579.91 entry=77594.24
2026-04-26 02:52:34,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:52:34,DEBUG,timings (s): fetch=0.005 indicators=0.158 signals=0.001 order_and_email=0.000 total=0.191
2026-04-26 02:53:34,INFO,macro-fvg | direction=BEARISH fvg=[77618.97-77620.44] type=bullish liquidity_target=77581.21 entry=77600.6
2026-04-26 02:53:34,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:53:34,DEBUG,timings (s): fetch=0.005 indicators=0.153 signals=0.001 order_and_email=0.000 total=0.209
2026-04-26 02:54:34,INFO,macro-fvg | direction=BEARISH fvg=[77618.97-77620.44] type=bullish liquidity_target=77563.93 entry=77564.54
2026-04-26 02:54:34,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:54:34,DEBUG,timings (s): fetch=0.005 indicators=0.151 signals=0.001 order_and_email=0.000 total=0.226
